calendar_quarter,area_level,area_name,age_group,median,lower,upper
CY2006Q2,0,Malawi,45-49,0.03567943510206806,0.031566154547872004,0.039965685513637196
CY2007Q2,0,Malawi,15-19,0.1607407123341259,0.1547619928998646,0.1670995535237883
CY2007Q2,0,Malawi,20-24,0.2655380434420824,0.25705471496184257,0.27424899661175944
CY2007Q2,0,Malawi,25-29,0.24195008607900664,0.2333613205657736,0.2501904443561907
CY2007Q2,0,Malawi,30-34,0.208737074217924,0.2009291391499352,0.21647940685739403
CY2007Q2,0,Malawi,35-39,0.1609683480855665,0.15396117311138485,0.168337614901297
CY2007Q2,0,Malawi,40-44,0.0900403819853933,0.0845212481645926,0.09570786672633143
CY2007Q2,0,Malawi,45-49,0.03672165842107987,0.032629115251911076,0.04091138587735155
CY2008Q2,0,Malawi,15-19,0.1534985702620129,0.1480538704782063,0.15883703060629759
CY2008Q2,0,Malawi,20-24,0.25756331981582054,0.2498684441249912,0.2655410464411332
CY2008Q2,0,Malawi,25-29,0.23377811651212455,0.22642308356948204,0.24129011006942902
CY2008Q2,0,Malawi,30-34,0.20286613252021324,0.1957441836347438,0.21043927152755357
CY2008Q2,0,Malawi,35-39,0.15711718912975073,0.15052030168359648,0.16359045443100423
CY2008Q2,0,Malawi,40-44,0.08732189145518371,0.08198344656452328,0.09272314646560684
CY2008Q2,0,Malawi,45-49,0.03550185020020144,0.0316664538873102,0.03942804427402883
CY2009Q2,0,Malawi,15-19,0.14613694428871243,0.1408117148312911,0.1514481332282964
CY2009Q2,0,Malawi,20-24,0.25184176841981154,0.244408605536582,0.25941405474225837
CY2009Q2,0,Malawi,25-29,0.22816172443649502,0.22150276215837467,0.23506085569599566
CY2009Q2,0,Malawi,30-34,0.20102424186225676,0.19387885618712503,0.20814759856840664
CY2009Q2,0,Malawi,35-39,0.15451074277388466,0.14819200331416754,0.1608879146332859
CY2009Q2,0,Malawi,40-44,0.08404163699271797,0.07914548319400846,0.08897586822539238
CY2009Q2,0,Malawi,45-49,0.034007855210990326,0.030383239389486387,0.037794441674089706
CY2010Q2,0,Malawi,15-19,0.145452039744568,0.14031013552149527,0.15092120389734617
CY2010Q2,0,Malawi,20-24,0.25074756255300873,0.24288527142045718,0.2587372226652998
CY2010Q2,0,Malawi,25-29,0.22440045477426468,0.2172681202963762,0.231628741085729
CY2010Q2,0,Malawi,30-34,0.19356176460661184,0.18668917922359077,0.20032243184964812
CY2010Q2,0,Malawi,35-39,0.14387011470366817,0.13772115113885178,0.15025826666382067
CY2010Q2,0,Malawi,40-44,0.07716418371391236,0.07261697150739699,0.08179940263488683
CY2010Q2,0,Malawi,45-49,0.031133938611389675,0.02777345845629793,0.034626018159951866
CY2011Q2,0,Malawi,15-19,0.14519063690869846,0.13878478430200517,0.1513896990135228
CY2011Q2,0,Malawi,20-24,0.2474969882951823,0.23847980752561437,0.25643790469205474
CY2011Q2,0,Malawi,25-29,0.21953029571120936,0.21094761984251661,0.22784280931659132
CY2011Q2,0,Malawi,30-34,0.18663422890470785,0.17866549005732527,0.19453827070680443
CY2011Q2,0,Malawi,35-39,0.13585904039279167,0.12911816960588113,0.14276840054624307
CY2011Q2,0,Malawi,40-44,0.07247303927649312,0.06782663386235499,0.077132582788143
CY2011Q2,0,Malawi,45-49,0.029343472632139732,0.026019314767951263,0.03278918718216961
CY2012Q2,0,Malawi,15-19,0.14430613853042812,0.1383293824739304,0.1505215973968776
CY2012Q2,0,Malawi,20-24,0.2464467043101724,0.2371909875939115,0.25573801248310596
CY2012Q2,0,Malawi,25-29,0.215745855795818,0.20775610614620876,0.2241823864187657
CY2012Q2,0,Malawi,30-34,0.18018230903885746,0.1726489505780348,0.18760464383051328
CY2012Q2,0,Malawi,35-39,0.13028735178176137,0.12384046911777105,0.13684631582976817
CY2012Q2,0,Malawi,40-44,0.06924035438498044,0.06469690362167217,0.07388951731345868
CY2012Q2,0,Malawi,45-49,0.028203345732702993,0.02490870691897336,0.0315035597557457
CY2013Q2,0,Malawi,15-19,0.1348164162140403,0.1292276498079029,0.14047983828085708
CY2013Q2,0,Malawi,20-24,0.22856943899611143,0.22022767905349788,0.23705718629255373
CY2013Q2,0,Malawi,25-29,0.19891187194206017,0.19154697967671755,0.20637241989430263
CY2013Q2,0,Malawi,30-34,0.16571419467188309,0.15874559424800555,0.17277017937060807
CY2013Q2,0,Malawi,35-39,0.12024812456741821,0.11417348905694419,0.12641903227255016
CY2013Q2,0,Malawi,40-44,0.06335588976745243,0.059071920636742124,0.06760363283455437
CY2013Q2,0,Malawi,45-49,0.025666261916891975,0.022796184899040457,0.02865573088247509
CY2014Q2,0,Malawi,15-19,0.1335132651898641,0.12781111275755602,0.13954258009789672
CY2014Q2,0,Malawi,20-24,0.22163719157295594,0.21331359017669863,0.22975694257885323
CY2014Q2,0,Malawi,25-29,0.1903017666099265,0.18298434131151187,0.19755281599813918
CY2014Q2,0,Malawi,30-34,0.15682028652752106,0.1501062231871298,0.16378886513508
